"x"
"1" -3094.99864133078
"2" -3126.04584484278
"3" -2785.7520991953
"4" -2709.19536192332
"5" -2790.2581884874
"6" -2457.9088702933
"7" -2907.39301891588
"8" -2524.83110707274
"9" -3089.25399359857
"10" -2476.04942783598
"11" -2558.77443987231
"12" -2670.79148106778
"13" -2765.51071146091
"14" -2850.5479626293
"15" -2742.5512331908
"16" -2737.16700363134
"17" -2712.63504654902
"18" -2492.69642433054
"19" -2870.6193840171
"20" -2575.64888569901
"21" -2814.70330279235
"22" -2675.86482731598
"23" -2593.2552708712
"24" -2478.58541068837
"25" -2297.65452227417
"26" -2659.38373645497
"27" -2566.6592026173
"28" -2478.12723469684
"29" -2551.34562689721
"30" -2286.37193554767
"31" -2619.1251475345
"32" -2962.0629863594
"33" -3292.75547817551
"34" -2630.65701375354
"35" -2408.90346750967
"36" -2925.10766518631
"37" -2375.35004411395
"38" -2749.45830331915
"39" -2833.26667144626
"40" -3126.43256804663
"41" -3636.54684788167
"42" -2801.7083427656
"43" -2614.23778039432
"44" -2746.88671635882
"45" -2783.44044868041
"46" -2393.36019650127
"47" -2601.00189766295
"48" -2880.710995918
"49" -2293.09531609432
"50" -2235.83485080069
